index,image_path,number
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q0.jpg,q0.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q1.jpg,q1.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q2.jpg,q2.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q3.jpg,q3.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q4.jpg,q4.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q5.jpg,q5.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q6.jpg,q6.jpg
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q7.jpg,q7.jpg
0,/home/work/yaiq/datasets/vcog-bench/marsvqa/0/choice/image/tf2_78_T1_ss1_pd.jpeg,tf2_78_T1_ss1_pd.jpeg
0,/home/work/yaiq/datasets/vcog-bench/marsvqa/0/choice/image/tf2_78_T2_ss1_pd.jpeg,tf2_78_T2_ss1_pd.jpeg
0,/home/work/yaiq/datasets/vcog-bench/marsvqa/0/choice/image/tf2_78_T3_ss1_pd.jpeg,tf2_78_T3_ss1_pd.jpeg
0,/home/work/yaiq/datasets/vcog-bench/marsvqa/0/choice/image/tf2_78_T4_ss1_pd.jpeg,tf2_78_T4_ss1_pd.jpeg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q0.jpg,q0.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q1.jpg,q1.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q2.jpg,q2.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q3.jpg,q3.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q4.jpg,q4.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q5.jpg,q5.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q6.jpg,q6.jpg
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q7.jpg,q7.jpg
1,/home/work/yaiq/datasets/vcog-bench/marsvqa/1/choice/image/tf1_13_T1_ss3_pd.jpeg,tf1_13_T1_ss3_pd.jpeg
1,/home/work/yaiq/datasets/vcog-bench/marsvqa/1/choice/image/tf1_13_T2_ss3_pd.jpeg,tf1_13_T2_ss3_pd.jpeg
1,/home/work/yaiq/datasets/vcog-bench/marsvqa/1/choice/image/tf1_13_T3_ss3_pd.jpeg,tf1_13_T3_ss3_pd.jpeg
1,/home/work/yaiq/datasets/vcog-bench/marsvqa/1/choice/image/tf1_13_T4_ss3_pd.jpeg,tf1_13_T4_ss3_pd.jpeg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/2/q0.jpg,q0.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/2/q1.jpg,q1.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/2/q2.jpg,q2.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/2/q3.jpg,q3.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/2/q4.jpg,q4.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/2/q5.jpg,q5.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/2/q6.jpg,q6.jpg
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/2/q7.jpg,q7.jpg
2,/home/work/yaiq/datasets/vcog-bench/marsvqa/2/choice/image/tf1_31_T1_ss3_md.jpeg,tf1_31_T1_ss3_md.jpeg
2,/home/work/yaiq/datasets/vcog-bench/marsvqa/2/choice/image/tf1_31_T2_ss3_md.jpeg,tf1_31_T2_ss3_md.jpeg
2,/home/work/yaiq/datasets/vcog-bench/marsvqa/2/choice/image/tf1_31_T3_ss3_md.jpeg,tf1_31_T3_ss3_md.jpeg
2,/home/work/yaiq/datasets/vcog-bench/marsvqa/2/choice/image/tf1_31_T4_ss3_md.jpeg,tf1_31_T4_ss3_md.jpeg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/3/q0.jpg,q0.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/3/q1.jpg,q1.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/3/q2.jpg,q2.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/3/q3.jpg,q3.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/3/q4.jpg,q4.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/3/q5.jpg,q5.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/3/q6.jpg,q6.jpg
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/3/q7.jpg,q7.jpg
3,/home/work/yaiq/datasets/vcog-bench/marsvqa/3/choice/image/tf1_50_T1_ss1_md.jpeg,tf1_50_T1_ss1_md.jpeg
3,/home/work/yaiq/datasets/vcog-bench/marsvqa/3/choice/image/tf1_50_T2_ss1_md.jpeg,tf1_50_T2_ss1_md.jpeg
3,/home/work/yaiq/datasets/vcog-bench/marsvqa/3/choice/image/tf1_50_T3_ss1_md.jpeg,tf1_50_T3_ss1_md.jpeg
3,/home/work/yaiq/datasets/vcog-bench/marsvqa/3/choice/image/tf1_50_T4_ss1_md.jpeg,tf1_50_T4_ss1_md.jpeg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/4/q0.jpg,q0.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/4/q1.jpg,q1.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/4/q2.jpg,q2.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/4/q3.jpg,q3.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/4/q4.jpg,q4.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/4/q5.jpg,q5.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/4/q6.jpg,q6.jpg
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/4/q7.jpg,q7.jpg
4,/home/work/yaiq/datasets/vcog-bench/marsvqa/4/choice/image/tf2_34_T1_ss2_pd.jpeg,tf2_34_T1_ss2_pd.jpeg
4,/home/work/yaiq/datasets/vcog-bench/marsvqa/4/choice/image/tf2_34_T2_ss2_pd.jpeg,tf2_34_T2_ss2_pd.jpeg
4,/home/work/yaiq/datasets/vcog-bench/marsvqa/4/choice/image/tf2_34_T3_ss2_pd.jpeg,tf2_34_T3_ss2_pd.jpeg
4,/home/work/yaiq/datasets/vcog-bench/marsvqa/4/choice/image/tf2_34_T4_ss2_pd.jpeg,tf2_34_T4_ss2_pd.jpeg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/5/q0.jpg,q0.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/5/q1.jpg,q1.jpg
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/5/q2.jpg,q2.jpg
