index,image_path,number,text
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q0.jpg,q0.jpg,"three objects : a purple triangle at the top, a green square at the left - bottom, and"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q1.jpg,q1.jpg,"three objects : a small red square at top, a small blue triangle at left - bottom, and"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q2.jpg,q2.jpg,"three objects : a green octagonal star at top, a red octagonal star at left - bottom, and"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q3.jpg,q3.jpg,"three objects : a medium red triangle at the top, a medium red square at the left - bottom"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q4.jpg,q4.jpg,"three green shapes in a triangle formation ; one green square at the top, one green triangle at the"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q5.jpg,q5.jpg,"three objects : a medium purple octagonal star at top, a medium green square at right - bottom,"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q6.jpg,q6.jpg,"a green triangle at the top - center, a purple square at the bottom - left, and a"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/0/q7.jpg,q7.jpg,"three objects : a medium blue square at top, a medium red triangle at left - bottom, and"
0,/home/work/yaiq/datasets/vcog-bench/marsvqa/0/choice/image/tf2_78_T1_ss1_pd.jpeg,tf2_78_T1_ss1_pd.jpeg,"three objects : a medium red octagonal star at the top - center, a medium green octagonal star at"
0,/home/work/yaiq/datasets/vcog-bench/marsvqa/0/choice/image/tf2_78_T2_ss1_pd.jpeg,tf2_78_T2_ss1_pd.jpeg,"three objects : a medium red octagonal star at the top, a medium red triangle at the left -"
0,/home/work/yaiq/datasets/vcog-bench/marsvqa/0/choice/image/tf2_78_T3_ss1_pd.jpeg,tf2_78_T3_ss1_pd.jpeg,"three objects : a blue square at the top, a green octagonal star at the left - bottom,"
0,/home/work/yaiq/datasets/vcog-bench/marsvqa/0/choice/image/tf2_78_T4_ss1_pd.jpeg,tf2_78_T4_ss1_pd.jpeg,"three objects : a medium blue square at top, a medium red triangle at left - bottom, a"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/marsvqa/1/q0.jpg,q0.jpg,"split by 3 rays from the center, a blue hollow circle at center and inside is a blue circle"
