index,image_path,number,text
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q1/q0.jpg,q0,"3 times 3 sub - blocks with 1 object : a small black square at the top - left,"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q1/q1.jpg,q1,3 times 3 sub - blocks with 1 object : a small black square at the top - center.
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q1/q2.jpg,q2,"3 times 3 sub - blocks with 2 objects : a small black square at the top - right,"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q1/q3.jpg,q3,3 times 3 sub - blocks with 1 object : a small black square at the left - center.
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q1/q4.jpg,q4,3 times 3 sub - blocks with 1 object : a small black square at the center.
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q1/q5.jpg,q5,"3 times 3 sub - blocks with 1 object : a small black square at the bottom - left,"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q1/q6.jpg,q6,"3 times 3 sub - blocks with 1 object : a small black square at the bottom - left,"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q1/q7.jpg,q7,3 times 3 sub - blocks with 1 object : a medium black square at the bottom - center.
1,/home/work/yaiq/datasets/MENSA/train/Q1/A.png,A,"3 times 3 sub - blocks, 3 objects ; one small black square at the bottom - right,"
1,/home/work/yaiq/datasets/MENSA/train/Q1/B.png,B,3 times 3 sub - blocks with 1 object ; one small black square at the bottom - left ;
1,/home/work/yaiq/datasets/MENSA/train/Q1/C.png,C,"3 times 3 sub - blocks with 1 object : a small black square at the bottom - left,"
1,/home/work/yaiq/datasets/MENSA/train/Q1/D.png,D,"3 times 3 sub - blocks with 1 object ; small black square at bottom - left, large white"
1,/home/work/yaiq/datasets/MENSA/train/Q1/E.png,E,3 times 3 sub - blocks with 1 object : a small black square at the top - center.
1,/home/work/yaiq/datasets/MENSA/train/Q1/F.png,F,3 times 3 sub - blocks with 1 object ; a small black square at the center.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q2/q0.jpg,q0,five small black circles around a medium white circle. three small black circles around the center.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q2/q1.jpg,q1,a large black circle with a cross at the center surrounded by four small black circles.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q2/q2.jpg,q2,"a medium black circle at center, surrounded by six small black circles, and a medium white square at"
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q2/q3.jpg,q3,a medium black star with three notches at the center.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q2/q4.jpg,q4,a medium black circle with three notches at the center.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q2/q5.jpg,q5,a medium black star with three notches at the center.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q2/q6.jpg,q6,a medium black circle at the center inside a large white square.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/MENSA/train/Q2/q7.jpg,q7,a medium white square with a small black cross at the center.
