index,image_path,number,text
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q0.jpg,q0.jpg,"4 objects inside a large circle ; medium light gray hexagon at top - left, medium light"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q1.jpg,q1.jpg,two objects : a large white pentagon outside and a small gray square inside at center.
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q2.jpg,q2.jpg,a large white triangle with two small dark gray pentagons inside ; one pentagon is at the top left
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q3.jpg,q3.jpg,"3 objects ; squares ; gray ; small size ; inside a large white circle, positioned diagonally with"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q4.jpg,q4.jpg,"a large white pentagon with two small dark gray pentagons inside, positioned diagonally with the top pentagon"
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q5.jpg,q5.jpg,a large white triangle with a small black hexagon inside at the top - left.
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q6.jpg,q6.jpg,two small light gray pentagons inside a large white circle. one pentagon is at the top - left
0,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/0/q7.jpg,q7.jpg,"a large white pentagon with a small gray hexagon inside, positioned slightly to the right."
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/0.jpeg,0.jpeg,a large white triangle with a small dark gray square inside towards the upper - left.
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/1.jpeg,1.jpeg,a large white triangle with a small dark gray triangle inside towards the upper - left.
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/2.jpeg,2.jpeg,a large white triangle with a small dark gray hexagon inside towards the upper - left.
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/3.jpeg,3.jpeg,two objects : one large white triangle and one small dark gray square. the dark gray square is inside
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/4.jpeg,4.jpeg,a large white triangle with three shapes inside ; a small dark gray hexagon at the top -
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/5.jpeg,5.jpeg,two objects : one large white triangle and one small dark gray square. the dark gray square is inside
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/6.jpeg,6.jpeg,a large white triangle with five shapes inside : two small dark gray hexagons at the top
0,/home/work/yaiq/datasets/vcog-bench/raven/0/choice/image/7.jpeg,7.jpeg,a large white triangle with a medium dark gray circle inside towards the upper - left.
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q0.jpg,q0.jpg,"3 times 3 sub - blocks with 8 objects ; large black squares at top - left, center -"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q1.jpg,q1.jpg,3 times 3 sub - blocks with 8 objects ; medium dark gray hexagon at top - left
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q2.jpg,q2.jpg,2 objects ; circle shapes ; gray color ; medium size ; top - down relation.
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q3.jpg,q3.jpg,3 times 3 sub - blocks with 6 medium dark gray circles. top row : medium dark gray circles
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q4.jpg,q4.jpg,"6 objects ; squares ; gray ; medium ; top - left, top - right, center - left"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q5.jpg,q5.jpg,"2 objects ; 1 small black hexagon at center, 1 small black hexagon at bottom"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q6.jpg,q6.jpg,"3 times 3 sub - blocks with 8 objects ; small gray hexagon at top - left,"
1,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/1/q7.jpg,q7.jpg,4 objects ; circular shapes ; all objects are black ; medium size ; arranged in a square.
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/0.jpeg,0.jpeg,"3 objects ; squares ; dark gray ; 2 small, 1 medium ; squares at top - left,"
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/1.jpeg,1.jpeg,"3 objects ; squares ; dark gray ; medium ; top, left, bottom ; top square at center"
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/2.jpeg,2.jpeg,"3 objects ; 2 circles, 1 pentagon ; dark gray ; medium ; 2 circles, 1 circle,"
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/3.jpeg,3.jpeg,"2 squares and 1 square ; small dark gray square at top - center, small dark gray square at"
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/4.jpeg,4.jpeg,"5 objects ; triangle, triangle, pentagon, pentagon ; light gray, black, dark gray ; small"
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/5.jpeg,5.jpeg,"3 squares, 2 squares ; white square at top - right, black square at center - left,"
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/6.jpeg,6.jpeg,1 object ; circle ; black ; medium ; center - bottom.
1,/home/work/yaiq/datasets/vcog-bench/raven/1/choice/image/7.jpeg,7.jpeg,"3 objects ; squares ; dark gray ; medium sizes ; 2 times 2 sub - blocks, small squares"
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q0.jpg,q0.jpg,two objects ; a small light gray pentagon at top ; a large white circle at bottom.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q1.jpg,q1.jpg,two objects ; a medium light gray triangle at the top - center and a small black pentagon at the
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q2.jpg,q2.jpg,"2 objects ; a medium gray hexagon at top, a large black triangle at bottom ; separated"
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q3.jpg,q3.jpg,"two objects ; medium dark gray triangle at top, medium dark gray circle at bottom."
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q4.jpg,q4.jpg,"two objects ; small white hexagon at top, large gray pentagon at bottom ; separated by a"
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q5.jpg,q5.jpg,"two objects ; small dark gray pentagon at top, large black triangle at bottom ; vertically aligned."
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q6.jpg,q6.jpg,two objects ; a large dark gray hexagon at top and a large gray circle at bottom.
2,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/2/q7.jpg,q7.jpg,2 objects ; pentagons ; white ; medium and large ; top - down relation.
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/0.jpeg,0.jpeg,two shapes with top down relation. large dark gray hexagon at top. small light gray triangle
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/1.jpeg,1.jpeg,"2 objects ; top gray triangle, bottom small gray triangle ; top down relation."
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/2.jpeg,2.jpeg,"2 objects ; top dark gray triangle, bottom small gray triangle ; medium triangle, tiny triangle ; top"
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/3.jpeg,3.jpeg,"2 objects ; top dark gray triangle, bottom gray triangle ; medium triangle, medium triangle ; top down"
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/4.jpeg,4.jpeg,"2 objects ; top dark gray triangle, bottom small gray triangle ; medium triangle, tiny triangle ; top"
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/5.jpeg,5.jpeg,"2 objects ; top dark gray triangle, bottom small dark gray triangle ; medium triangle, tiny triangle ;"
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/6.jpeg,6.jpeg,two shapes with top down relation. large dark gray circle at top. small light gray triangle at down
2,/home/work/yaiq/datasets/vcog-bench/raven/2/choice/image/7.jpeg,7.jpeg,"2 objects ; top dark gray triangle, bottom gray triangle ; medium triangle, medium triangle ; top down"
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q0.jpg,q0.jpg,"3 objects ; shapes are medium gray circles, triangles, and hexagons ; sizes are large"
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q1.jpg,q1.jpg,"3 objects ; 2 circles, 1 square ; light gray color ; medium size ; arranged in a 2"
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q2.jpg,q2.jpg,"4 objects ; 2 squares, 1 pentagon, 1 hexagon ; white ; small, medium,"
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q3.jpg,q3.jpg,"2 times 2 sub - blocks with 3 objects, medium light gray hexagon at top - left"
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q4.jpg,q4.jpg,"single medium white circle at top - right, right at top - right."
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q5.jpg,q5.jpg,"4 objects ; 2 squares, 1 triangle, 1 square ; gray color ; medium size ; 2 squares"
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q6.jpg,q6.jpg,a small white hexagon at bottom - left.
3,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/3/q7.jpg,q7.jpg,"3 objects ; 2 circles and 1 square ; gray color ; small square at top - left, medium"
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/0.jpeg,0.jpeg,"4 objects ; triangles, squares, and hexagon ; black and gray ; small, medium,"
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/1.jpeg,1.jpeg,3 objects ; small black hexagon at top - left ; medium dark gray triangle at top -
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/2.jpeg,2.jpeg,4 objects ; tiny white triangle at top - left ; tiny white square at top - right ; small
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/3.jpeg,3.jpeg,4 objects ; tiny dark gray triangle at top - left ; tiny dark gray square at top - right
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/4.jpeg,4.jpeg,one large black hexagon at top - left.
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/5.jpeg,5.jpeg,1 object ; large gray hexagon at top - right.
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/6.jpeg,6.jpeg,4 objects ; 2 triangles and 1 square ; light gray ; small size ; 2 times 2 sub -
3,/home/work/yaiq/datasets/vcog-bench/raven/3/choice/image/7.jpeg,7.jpeg,4 objects ; tiny light gray triangle at top - left ; tiny dark gray square at top - right
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q0.jpg,q0.jpg,two objects ; a large black circle on the left and a large dark gray circle on the right ;
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q1.jpg,q1.jpg,"2 objects, left circle and right hexagon ; small white circle at left, large dark gray"
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q2.jpg,q2.jpg,two objects ; a large black circle on the left and a small dark gray triangle on the right ;
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q3.jpg,q3.jpg,two objects ; a small dark gray square on the left and a large white triangle on the right ;
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q4.jpg,q4.jpg,two objects ; a large light gray square on the left and a large white circle on the right ;
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q5.jpg,q5.jpg,two objects ; a large black square on the left and a small white hexagon with a black
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q6.jpg,q6.jpg,two objects ; small dark gray triangle on the left ; large gray hexagon on the right.
4,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/4/q7.jpg,q7.jpg,two triangles ; small white triangle on the left ; large gray triangle on the right.
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/0.jpeg,0.jpeg,"2 objects ; a medium dark gray triangle on the left, a medium black circle on the right."
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/1.jpeg,1.jpeg,two objects ; small dark gray triangle on the left ; medium gray circle on the right.
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/2.jpeg,2.jpeg,two objects ; a medium dark gray triangle on the left and a medium white circle on the right.
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/3.jpeg,3.jpeg,two objects ; a medium white triangle on the left and a medium gray circle on the right ; separated
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/4.jpeg,4.jpeg,two objects ; left : medium black triangle ; right : small gray circle ; separated by vertical line.
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/5.jpeg,5.jpeg,two objects ; a medium dark gray triangle on the left and a medium gray circle on the right ;
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/6.jpeg,6.jpeg,two objects ; medium light gray triangle on the left ; small gray circle on the right.
4,/home/work/yaiq/datasets/vcog-bench/raven/4/choice/image/7.jpeg,7.jpeg,two objects ; medium dark gray triangle on the left ; small gray circle on the right.
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q0.jpg,q0.jpg,2 objects ; pentagons ; white and black ; medium and large ; large and huge ; large and
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q1.jpg,q1.jpg,"2 objects ; circle of light and small black color ; medium size ; positioned at top - right,"
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q2.jpg,q2.jpg,"2 objects ; triangles ; black, white ; medium size ; 2 times 2 sub - blocks, top"
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q3.jpg,q3.jpg,"a large black circle at bottom - right, positioned at the bottom - right corner."
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q4.jpg,q4.jpg,"one small black triangle at top - left, one large white square at top - right."
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q5.jpg,q5.jpg,"one small black pentagon at top - left, positioned at top - right."
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q6.jpg,q6.jpg,2 objects ; triangles ; black ; medium size ; 2 times 2 sub - blocks with medium triangle at
5,/home/work/yaiq/YAIQ/workspace/SM/dataset_cut/vcog-bench/raven/5/q7.jpg,q7.jpg,"two pentagons ; one large white at the bottom, one small white at the bottom."
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/0.jpeg,0.jpeg,two objects : one medium black pentagon at top - left and one small black hexagon at bottom
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/1.jpeg,1.jpeg,1 object. medium light gray hexagon at bottom - left.
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/2.jpeg,2.jpeg,a small dark gray hexagon at top - left.
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/3.jpeg,3.jpeg,a small light gray hexagon at bottom - right.
5,/home/work/yaiq/datasets/vcog-bench/raven/5/choice/image/4.jpeg,4.jpeg,two objects ; one large black circle at top - left and one medium black circle at bottom - right
