question_id,question_path,difficulty,subset,correct_answer,choices_letter,multiple_answer_path,explanations
0,train/MENSA_Norway/Q1/Q.png,1,MENSA Norway,A,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q1/Q1_multiple.png,['Each black square is in the same row and column as the grid itself.']
1,train/MENSA_Norway/Q2/Q.png,1,MENSA Norway,E,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q2/Q2_multiple.png,"['There are repetitions for each row and column. Each cell in the first row has 4 black dots, each cell in the second row has a star shape and each cell in the third row has a square. Each cell in the first column has a circle, each cell in the second column has a cross and each cell in the third column has a romboid.']"
2,train/MENSA_Norway/Q3/Q.png,1,MENSA Norway,F,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q3/Q3_multiple.png,"['Each row has a repetition. The first row contains circles, the second row contains squares and the third row contains triangles. Each row has to contain a cell with a cross, a cell with a black dot and a cell with an empty shape. Or, there are reptitions in the diagonal from top to bottom. Moving from left to right, the first diagonal contains a black dot, the second diagonal contains a cross, the third diagonal contains an empty shape, the fourth diagonal contains a black dot and the fifth diagonal contains a cross.']"
3,train/MENSA_Norway/Q4/Q.png,1,MENSA Norway,F,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q4/Q4_multiple.png,"['Consider each column indipendently, from left to right.  When going down a column, the rectangle gets rotated by 45 degrees counter-clockwise.']"
4,train/MENSA_Norway/Q5/Q.png,1,MENSA Norway,D,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q5/Q5_multiple.png,"['Consider each row indipendently.  When going from left to right, each shape gets rotated by 45 degrees clockwise.']"
5,train/MENSA_Norway/Q6/Q.png,2,MENSA Norway,E,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q6/Q6_multiple.png,"['Consider each image within the matrix. In the first row, each image has only 1 square in the top row of black squares. In the second row, each image has 2 squares in the top row of black squares. In the third row, each image has three squares in the top row of black squares. Now consider each column. In the first column each image ha 1 block in the bottom row of black squares, 2 blocks in the bottom row of black squares and 3 blocks in the bottom row of black squares.']"
6,train/MENSA_Norway/Q7/Q.png,2,MENSA Norway,F,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q7/Q7_multiple.png,"[' Consider each row. When moving from left to right, the image gets rotated by 90 degrees clockwise and a square gets added.']"
7,train/MENSA_Norway/Q8/Q.png,2,MENSA Norway,C,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q8/Q8_multiple.png,"['Consider each diagonal from top-left to bottom-right, there is a repetition in the bottom half in each image. In the first and fourth diagonal starting from bottom left, there are 3 dots at the bottom of the image. In the second and fifth  diagonal starting from bottom left, there is one dot at the bottom of each image. In the third diagonal there 2 dots on opposite sides at the bottom of each image. Now consider the diagonals from top-right to bottom-left. In the first and fourth diagonal starting from the top-left, there are 2 dots on the opposite sides at the top of the image. In the second and fifth diagonals starting from top-left there is 1 dot at the top of each image. And in the third diagonal starting from top-left, there are 2 dots at the top of each image.']"
8,train/MENSA_Norway/Q9/Q.png,1,MENSA Norway,C,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q9/Q9_multiple.png,"['There are repetitions of the black dot along the rows. In the first row, the black dot is in the top-left corner. In the second row, the black dot is in the bottom-left corner. In the third row, the black dot is in the bootom-right corner. There are repetitions of the square along the columns. In the first column, the square is in the top-right corner. In the second column, the square is in the bottom-right corner. In the third column, the square is in the bottom-left corner.']"
9,train/MENSA_Norway/Q10/Q.png,1,MENSA Norway,D,['A' 'B' 'C' 'D' 'E' 'F'],train/MENSA_Norway/Q10/Q10_multiple.png,['There is a rotation along each row of 90 degrees counter-clockwise direction.']
