index,path,dataset
0,vcog-bench/raven/0,raven
11,vcog-bench/raven/11,raven
22,vcog-bench/raven/22,raven
33,vcog-bench/raven/33,raven
44,vcog-bench/raven/44,raven
55,vcog-bench/raven/55,raven
66,vcog-bench/raven/66,raven
77,vcog-bench/raven/77,raven
88,vcog-bench/raven/88,raven
99,vcog-bench/raven/99,raven
110,vcog-bench/raven/110,raven
121,vcog-bench/raven/121,raven
132,vcog-bench/raven/132,raven
143,vcog-bench/raven/143,raven
154,vcog-bench/raven/154,raven
165,vcog-bench/raven/165,raven
176,vcog-bench/raven/176,raven
187,vcog-bench/raven/187,raven
198,vcog-bench/raven/198,raven
209,vcog-bench/raven/209,raven
220,vcog-bench/raven/220,raven
231,vcog-bench/raven/231,raven
242,vcog-bench/raven/242,raven
253,vcog-bench/raven/253,raven
264,vcog-bench/raven/264,raven
275,vcog-bench/raven/275,raven
286,vcog-bench/raven/286,raven
297,vcog-bench/raven/297,raven
308,vcog-bench/raven/308,raven
319,vcog-bench/raven/319,raven
330,vcog-bench/raven/330,raven
341,vcog-bench/raven/341,raven
352,vcog-bench/raven/352,raven
363,vcog-bench/raven/363,raven
374,vcog-bench/raven/374,raven
385,vcog-bench/raven/385,raven
396,vcog-bench/raven/396,raven
407,vcog-bench/raven/407,raven
418,vcog-bench/raven/418,raven
429,vcog-bench/raven/429,raven
440,vcog-bench/raven/440,raven
451,vcog-bench/raven/451,raven
462,vcog-bench/raven/462,raven
473,vcog-bench/raven/473,raven
484,vcog-bench/raven/484,raven
495,vcog-bench/raven/495,raven
506,vcog-bench/raven/506,raven
517,vcog-bench/raven/517,raven
528,vcog-bench/raven/528,raven
539,vcog-bench/raven/539,raven
0,vcog-bench/marsvqa/0,mars
9,vcog-bench/marsvqa/9,mars
18,vcog-bench/marsvqa/18,mars
27,vcog-bench/marsvqa/27,mars
36,vcog-bench/marsvqa/36,mars
45,vcog-bench/marsvqa/45,mars
54,vcog-bench/marsvqa/54,mars
63,vcog-bench/marsvqa/63,mars
72,vcog-bench/marsvqa/72,mars
81,vcog-bench/marsvqa/81,mars
90,vcog-bench/marsvqa/90,mars
99,vcog-bench/marsvqa/99,mars
108,vcog-bench/marsvqa/108,mars
117,vcog-bench/marsvqa/117,mars
126,vcog-bench/marsvqa/126,mars
135,vcog-bench/marsvqa/135,mars
144,vcog-bench/marsvqa/144,mars
153,vcog-bench/marsvqa/153,mars
162,vcog-bench/marsvqa/162,mars
171,vcog-bench/marsvqa/171,mars
180,vcog-bench/marsvqa/180,mars
189,vcog-bench/marsvqa/189,mars
198,vcog-bench/marsvqa/198,mars
207,vcog-bench/marsvqa/207,mars
216,vcog-bench/marsvqa/216,mars
225,vcog-bench/marsvqa/225,mars
234,vcog-bench/marsvqa/234,mars
243,vcog-bench/marsvqa/243,mars
252,vcog-bench/marsvqa/252,mars
261,vcog-bench/marsvqa/261,mars
270,vcog-bench/marsvqa/270,mars
279,vcog-bench/marsvqa/279,mars
288,vcog-bench/marsvqa/288,mars
297,vcog-bench/marsvqa/297,mars
306,vcog-bench/marsvqa/306,mars
315,vcog-bench/marsvqa/315,mars
324,vcog-bench/marsvqa/324,mars
333,vcog-bench/marsvqa/333,mars
342,vcog-bench/marsvqa/342,mars
351,vcog-bench/marsvqa/351,mars
360,vcog-bench/marsvqa/360,mars
369,vcog-bench/marsvqa/369,mars
378,vcog-bench/marsvqa/378,mars
387,vcog-bench/marsvqa/387,mars
396,vcog-bench/marsvqa/396,mars
405,vcog-bench/marsvqa/405,mars
414,vcog-bench/marsvqa/414,mars
423,vcog-bench/marsvqa/423,mars
432,vcog-bench/marsvqa/432,mars
441,vcog-bench/marsvqa/441,mars
